All,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance
Month,Active_Accounts,Active_Accounts,Active_Accounts,Total_Inflows,Total_Inflows,Total_Inflows,ACHoutPerActive,ACHoutPerActive,ACHoutPerActive,ACHoutShare,ACHoutShare,ACHoutShare,ACHoutQuantity,ACHoutQuantity,ACHoutQuantity,ACHoutAmount_Model,ACHoutAmount_Model,ACHoutAmount_Model,ACHoutRate_Model,ACHoutRate_Model,ACHoutRate_Model,RTPoutPerActive,RTPoutPerActive,RTPoutPerActive,RTPoutShare,RTPoutShare,RTPoutShare,RTPoutQuantity,RTPoutQuantity,RTPoutQuantity,RTPoutAmount,RTPoutAmount,RTPoutAmount,RTPoutRate_Model,RTPoutRate_Model,RTPoutRate_Model,WireOutPerActive,WireOutPerActive,WireOutPerActive,WireOutShare,WireOutShare,WireOutShare,WireOutQuantity,WireOutQuantity,WireOutQuantity,WireOutAmount,WireOutAmount,WireOutAmount,WireOutRate,WireOutRate,WireOutRate,DebitCardTransactionsPerActive,DebitCardTransactionsPerActive,DebitCardTransactionsPerActive,DebitCardTransactionShare,DebitCardTransactionShare,DebitCardTransactionShare,DebitQuantity,DebitQuantity,DebitQuantity,DebitAmount,DebitAmount,DebitAmount,DebitRate,DebitRate,DebitRate
1,1000,1000, -   ,1650500,1650500, -   ,0.98,0.98, -   ,0.4029082,0.4029082, -   ,980,980, -   ,665000,665000, -   ,678.5714286,678.5714286, (0.00000003),0.42,0.42, -   ,0.1726749,0.1726749, -   ,420,420, -   ,285000,285000, -   ,678.5714286,678.5714286, (0.00000003),0.001,0.001, -   ,0.000151469,0.000151469, -   ,1,1, -   ,250,250, -   ,250,250, -   ,4,4, -   ,0.856836844,0.856836844, -   ,4000,4000, -   ,600000,600000, -   ,150,150, -   
2,2800,2800, -   ,5547300,5547300, -   ,0.98,0.98, -   ,0.40276784,0.4027678, 0.0000000400 ,2744,2744, -   ,2234274,2234274, -   ,814.2397959,814.2397959, 0.00000002 ,0.42,0.42, -   ,0.17261476,0.1726148, (0.00000004),1176,1176, -   ,957546,957546, -   ,814.2397959,814.2397959, 0.00000002 ,0.00107,0.00107, -   ,0.000155045,0.000155045, 0.0000000002 ,3,3, -   ,860,860, -   ,286.6666667,286.6666667, (0.00000003),4.4,4.4, -   ,0.85614221,0.85614221, 0.0000000002 ,12320,12320, -   ,2015890,2015890, -   ,163.6274351,163.6274351, (0.00000004)
3,4600,4600, -   ,10635840,10635840, -   ,0.98,0.98, -   ,0.40262748,0.4026274, 0.0000000800 ,4508,4508, -   ,4282281,4282281, -   ,949.9292369,949.9292369, 0.00000001 ,0.42,0.42, -   ,0.17255462,0.1725547, (0.00000008),1932,1932, -   ,1835263,1835264, (1.00),949.929089,949.9296066, (0.00051757),0.00114,0.00114, -   ,0.000158621,0.000158621, 0.0000000004 ,5,5, -   ,1687,1687, -   ,337.4,337.4, -   ,4.8,4.8, -   ,0.855447576,0.855447576, 0.0000000004 ,22080,22080, -   ,3863722,3863721, 1.00 ,174.9874094,174.9873641, 0.00004532 
4,6400,6400, -   ,16918540,16918540, -   ,0.98,0.98, -   ,0.40248712,0.402487, 0.0000001200 ,6272,6272, -   ,6809494,6809492, 2.00 ,1085.697385,1085.697066, 0.00031920 ,0.42,0.42, -   ,0.17249448,0.1724946, (0.00000012),2688,2688, -   ,2918355,2918357, (2.00),1085.697545,1085.698289, (0.00074436),0.00121,0.00121, -   ,0.000162198,0.000162197, 0.0000000006 ,8,8, -   ,2744,2744, -   ,343,343, -   ,5.2,5.2, -   ,0.854752943,0.854752942, 0.0000000006 ,33280,33280, -   ,6143919,6143919, -   ,184.6129507,184.6129507, 0.00000002 
5,8200,8200, -   ,24395040,24395040, -   ,0.98,0.98, -   ,0.40234676,0.4023466, 0.0000001600 ,8036,8036, -   ,9815265,9815261, 4.00 ,1221.411772,1221.411274, 0.00049803 ,0.42,0.42, -   ,0.17243434,0.1724345, (0.00000016),3444,3444, -   ,4206543,4206547, (4.00),1221.412021,1221.413182, (0.00116109),0.00128,0.00128, -   ,0.000165774,0.000165773, 0.0000000008 ,10,10, -   ,4044,4044, -   ,404.4,404.4, -   ,5.6,5.6, -   ,0.854058309,0.854058308, 0.0000000008 ,45920,45920, -   ,8855891,8855891, -   ,192.8547692,192.8547692, (0.00000004)
6,10000,10000, -   ,33067600,33067600, -   ,0.98,0.98, -   ,0.4022064,0.4022064, -   ,9800,9800, -   ,13300000,13300000, -   ,1357.142857,1357.142857, 0.00000014 ,0.42,0.42, -   ,0.1723742,0.1723742, -   ,4200,4200, -   ,5700001,5700000, 1.00 ,1357.143095,1357.142857, 0.00023824 ,0.00135,0.00135, -   ,0.00016935,0.00016935, -   ,14,14, -   ,5600,5600, -   ,400,400, -   ,6,6, -   ,0.853363675,0.853363675, -   ,60000,60000, -   ,11999999,12000000, (1.00),199.9999833,200, (0.00001667)
7,16666,16666, -   ,58924587.5,58924588, (0.50),1.143333333,1.1433333, 0.0000000333 ,0.40224615,0.4022461, 0.0000000500 ,19054,19055, (1.00),23702188,23702186, 2.00 ,1243.948147,1243.88276, 0.06538737 ,0.49,0.49, -   ,0.172391233,0.1723912, 0.00000003 ,8166,8166, -   ,10158082,10158080, 2.00 ,1243.948322,1243.948077, 0.00024531 ,0.001347222,0.0013472, 0.00000002 ,0.000172926,0.00016935, 0.0000035762 ,22,22, -   ,10190,9979, 211.00 ,463.1818182,453.5909091, 9.59090908 ,7,7, -   ,0.853580147,0.853363675, 0.0002164715 ,116662,116662, -   ,21385706,21380466," 5,240.00 ",183.313384,183.2684679, 0.04491606 
8,23333,23333, -   ,85698741.67,85698742, (0.33),1.306666667,1.3066666, 0.0000000667 ,0.4022859,0.4022858, 0.0000001000 ,30488,30488, -   ,34475395,34475387, 8.00 ,1130.785719,1130.785457, 0.00026197 ,0.56,0.56, -   ,0.172408267,0.1724082, 0.00000007 ,13066,13066, -   ,14775172,14775166, 6.00 ,1130.810654,1130.810194, 0.00045960 ,0.001344444,0.0013444, 0.00000004 ,0.000176502,0.00016935, 0.0000071524 ,31,31, -   ,15126,14513, 613.00 ,487.9354839,468.1612903, 19.77419357 ,8,8, -   ,0.853796618,0.853363675, 0.0004329430 ,186664,186664, -   ,31106414,31091176," 15,238.00 ",166.6438842,166.5622509, 0.08163330 
9,30000,30000, -   ,111551400,111551400, -   ,1.47,1.4699999, 0.0000001000 ,0.40232565,0.4023255, 0.0000001500 ,44100,44100, -   ,44879990,44879973, 17.00 ,1017.686848,1017.686463, 0.00038507 ,0.63,0.63, -   ,0.1724253,0.1724252, 0.00000010 ,18900,18900, -   ,19234284,19234272, 12.00 ,1017.686984,1017.686349, 0.00063513 ,0.001341667,0.0013416, 0.00000007 ,0.000180079,0.00016935, 0.0000107286 ,40,40, -   ,20088,18891," 1,197.00 ",502.2,472.275, 29.92500000 ,9,9, -   ,0.85401309,0.853363675, 0.0006494145 ,270000,270000, -   ,40494771,40465024," 29,747.00 ",149.9806333,149.8704593, 0.11017403 
10,36666,36666, -   ,134645533.3,134645533, 0.33 ,1.633333333,1.6333332, 0.0000001333 ,0.4023654,0.4023652, 0.0000002000 ,59887,59888, (1.00),54176704,54176677, 27.00 ,904.6488219,904.6332654, 0.01555655 ,0.7,0.7, -   ,0.172442333,0.1724422, 0.00000013 ,25666,25666, -   ,23218590,23218572, 18.00 ,904.6438869,904.6431855, 0.00070135 ,0.001338889,0.0013388, 0.00000009 ,0.000183655,0.00016935, 0.0000143048 ,49,49, -   ,24728,22802," 1,926.00 ",504.6530612,465.3469388, 39.30612242 ,10,10, -   ,0.854229561,0.853363675, 0.0008658860 ,366660,366660, -   ,48883723,48835854," 47,869.00 ",133.3216686,133.1911144, 0.13055418 
11,43333,43333, -   ,153153137.5,153153138, (0.50),1.796666667,1.7966665, 0.0000001667 ,0.40240515,0.4024049, 0.0000002500 ,77854,77855, (1.00),61629611,61629573, 38.00 ,791.60494,791.5942842, 0.01065582 ,0.77,0.77, -   ,0.172459367,0.1724592, 0.00000017 ,33366,33366, -   ,26412693,26412668, 25.00 ,791.6050171,791.6042678, 0.00074928 ,0.001336111,0.001336, 0.00000011 ,0.000187231,0.00016935, 0.0000178810 ,58,58, -   ,28675,25936," 2,739.00 ",494.3965517,447.1724138, 47.22413792 ,11,11, -   ,0.854446033,0.853363675, 0.0010823575 ,476663,476663, -   ,55609192,55541142," 68,050.00 ",116.663538,116.5207746, 0.14276337 
12,50000,50000, -   ,165240000,165240000, -   ,1.96,1.96, -   ,0.4024449,0.4024449, -   ,98000,98000, -   ,66499995,66500000, (5.00),678.5713776,678.5714286, (0.00005105),0.84,0.84, -   ,0.1724764,0.1724764, -   ,42000,42000, -   ,28500000,28500000, -   ,678.5714286,678.5714286, (0.00000003),0.001333333,0.0013333, 0.00000003 ,0.000223009,0.000223009, -   ,67,67, -   ,36850,36850, -   ,550,550, -   ,12,12, -   ,0.854662504,0.854662504, -   ,600000,600000, -   ,60000004,60000000, 4.00 ,100.0000067,100, 0.00000667 
13,55833,55833, -   ,184515833.3,184515833, 0.33 ,1.96,1.96, -   ,0.402447608,0.4024476, 0.0000000083 ,109432,109433, (1.00),74257956,74257954, 2.00 ,678.5762483,678.5700292, 0.00621906 ,0.84,0.84, -   ,0.172477558,0.1724776, (0.00000004),46899,46900, (1.00),31824840,31824848, (8.00),678.5824858,678.5681876, 0.01429817 ,0.001333333,0.0013333, 0.00000003 ,0.000194383,0.000224599, (0.0000302156),74,74, -   ,35867,41442," (5,575.00)",484.6891892,560.027027, (75.33783781),12.66666667,12.6666667, (0.00000003),0.854679231,0.85467923, 0.0000000005 ,707218,707218, -   ,67004433,66999663," 4,770.00 ",94.74367592,94.73693119, 0.00674473 
14,61666,61666, -   ,203792200,203792200, -   ,1.96,1.96, -   ,0.402450317,0.4024503, 0.0000000167 ,120865,120865, -   ,82016235,82016232, 3.00 ,678.5772142,678.5771894, 0.00002485 ,0.84,0.84, -   ,0.172478717,0.1724788, (0.00000008),51799,51799, -   ,35149817,35149834, (17.00),678.5809958,678.581324, (0.00032823),0.001333333,0.0013333, 0.00000003 ,0.00019796,0.000226189, (0.0000282294),82,82, -   ,40343,46096," (5,753.00)",491.9878049,562.1463415, (70.15853662),13.33333333,13.3333334, (0.00000007),0.854695957,0.854695956, 0.0000000010 ,822213,822213, -   ,74004537,73999608," 4,929.00 ",90.00652751,90.00053271, 0.00599480 
15,67500,67500, -   ,223070850,223070850, -   ,1.96,1.96, -   ,0.402453025,0.402453, 0.0000000250 ,132300,132300, -   ,89775538,89775533, 5.00 ,678.5754951,678.5754573, 0.00003779 ,0.84,0.84, -   ,0.172479875,0.17248, (0.00000012),56700,56700, -   ,38475232,38475260, (28.00),678.5755203,678.5760141, (0.00049382),0.001333333,0.0013333, 0.00000003 ,0.000201536,0.000227779, (0.0000262432),90,90, -   ,44957,50811," (5,854.00)",499.5222222,564.5666667, (65.04444448),14,14.0000001, (0.00000010),0.854712684,0.854712682, 0.0000000015 ,945000,945000, -   ,81005500,81000476," 5,024.00 ",85.72010582,85.71478942, 0.00531640 
16,73333,73333, -   ,242346700,242346700, -   ,1.96,1.96, -   ,0.402455733,0.4024557, 0.0000000333 ,143732,143733, (1.00),97533819,97533811, 8.00 ,678.5811023,678.5763255, 0.00477683 ,0.84,0.84, -   ,0.172481033,0.1724812, (0.00000017),61599,61600, (1.00),41800209,41800250, (41.00),678.5858374,678.575487, 0.01035043 ,0.001333333,0.0013333, 0.00000003 ,0.000205112,0.000229369, (0.0000242570),98,98, -   ,49708,55587," (5,879.00)",507.2244898,567.2142857, (59.98979590),14.66666667,14.6666668, (0.00000013),0.85472941,0.854729408, 0.0000000020 ,1075550,1075551, (1.00),88005473,88000420," 5,053.00 ",81.82369299,81.81891886, 0.00477413 
17,79166,79166, -   ,261621466.7,261621467, (0.33),1.96,1.96, -   ,0.402458442,0.4024584, 0.0000000417 ,155165,155165, -   ,105291768,105291757, 11.00 ,678.5793703,678.5792995, 0.00007085 ,0.84,0.84, -   ,0.172482192,0.1724824, (0.00000021),66499,66499, -   ,45125044,45125099, (55.00),678.5822945,678.5831216, (0.00082713),0.001333333,0.0013333, 0.00000003 ,0.000208688,0.000230959, (0.0000222708),106,106, -   ,54597,60424," (5,827.00)",515.0660377,570.0377358, (54.97169806),15.33333333,15.3333335, (0.00000017),0.854746137,0.854746134, 0.0000000025 ,1213878,1213879, (1.00),95005082,95000064," 5,018.00 ",78.26575817,78.26155984, 0.00419833 
18,85000,85000, -   ,280898400,280898400, -   ,1.96,1.96, -   ,0.40246115,0.4024611, 0.0000000500 ,166600,166600, -   ,113050693,113050679, 14.00 ,678.5755882,678.5755042, 0.00008404 ,0.84,0.84, -   ,0.17248335,0.1724836, (0.00000025),71400,71400, -   ,48450297,48450367, (70.00),678.5755882,678.5765686, (0.00098036),0.001333333,0.0013333, 0.00000003 ,0.000212264,0.000232549, (0.0000202846),113,113, -   ,59625,65323," (5,698.00)",527.6548673,578.079646, (50.42477874),16,16.0000002, (0.00000020),0.854762863,0.85476286, 0.0000000030 ,1360000,1360000, -   ,102005507,102000588," 4,919.00 ",75.00404926,75.00043235, 0.00361691 
19,90833,90833, -   ,300172466.7,300172467, (0.33),1.96,1.96, -   ,0.402463858,0.4024638, 0.0000000583 ,178032,178033, (1.00),120808569,120808552, 17.00 ,678.5778343,678.5739273, 0.00390702 ,0.84,0.84, -   ,0.172484508,0.1724848, (0.00000029),76299,76300, (1.00),51775100,51775188, (88.00),678.5816328,678.5738925, 0.00774029 ,0.001333333,0.0013333, 0.00000003 ,0.000215841,0.000234139, (0.0000182984),121,121, -   ,64789,70282," (5,493.00)",535.446281,580.8429752, (45.39669421),16.66666667,16.6666669, (0.00000023),0.85477959,0.854779586, 0.0000000035 ,1513883,1513883, -   ,109004920,109000164," 4,756.00 ",72.00353,72.00038841, 0.00314159 
20,96666,96666, -   ,319446966.7,319446967, (0.33),1.96,1.96, -   ,0.402466567,0.4024665, 0.0000000667 ,189465,189465, -   ,128566724,128566703, 21.00 ,678.5777004,678.5775895, 0.00011087 ,0.84,0.84, -   ,0.172485667,0.172486, (0.00000033),81199,81199, -   ,55100023,55100130, (107.00),678.5800687,678.5813865, (0.00131778),0.001333333,0.0013333, 0.00000003 ,0.000219417,0.000235729, (0.0000163122),129,129, -   ,70092,75303," (5,211.00)",543.3488372,583.744186, (40.39534879),17.33333333,17.3333336, (0.00000027),0.854796316,0.854796312, 0.0000000040 ,1675544,1675544, -   ,116004517,115999989," 4,528.00 ",69.23394253,69.23124012, 0.00270241 
21,102500,102500, -   ,338723550,338723550, -   ,1.96,1.96, -   ,0.402469275,0.4024692, 0.0000000750 ,200900,200900, -   ,136325822,136325796, 26.00 ,678.5755202,678.5753907, 0.00012946 ,0.84,0.84, -   ,0.172486825,0.1724872, (0.00000037),86100,86100, -   ,58425350,58425477, (127.00),678.5754936,678.5769686, (0.00147499),0.001333333,0.0013333, 0.00000003 ,0.000222993,0.000237319, (0.0000143260),137,137, -   ,75533,80386," (4,853.00)",551.3357664,586.7591241, (35.42335768),18,18.0000003, (0.00000030),0.854813043,0.854813038, 0.0000000045 ,1845000,1845000, -   ,123004900,123000664," 4,236.00 ",66.66932249,66.66702656, 0.00229593 
22,108333,108333, -   ,357997233.3,357997233, 0.33 ,1.96,1.96, -   ,0.402471983,0.4024719, 0.0000000833 ,212332,212333, (1.00),144083857,144083827, 30.00 ,678.5781559,678.5748188, 0.00333711 ,0.84,0.84, -   ,0.172487983,0.1724884, (0.00000042),90999,91000, (1.00),61750221,61750370, (149.00),678.5813141,678.5754945, 0.00581958 ,0.001333333,0.0013333, 0.00000003 ,0.000226569,0.000238909, (0.0000123398),144,144, -   ,81111,85529," (4,418.00)",563.2708333,593.9513889, (30.68055557),18.66666667,18.666667, (0.00000033),0.854829769,0.854829764, 0.0000000050 ,2022216,2022216, -   ,130004259,130000379," 3,880.00 ",64.28801819,64.28609951, 0.00191868 
23,114166,114166, -   ,377269633.3,377269633, 0.33 ,1.96,1.96, -   ,0.402474692,0.4024746, 0.0000000917 ,223765,223765, -   ,151841479,151841445, 34.00 ,678.5756441,678.5754921, 0.00015199 ,0.84,0.84, -   ,0.172489142,0.1724896, (0.00000046),95899,95899, -   ,65074915,65075088, (173.00),678.5776181,678.5794221, (0.00180398),0.001333333,0.0013333, 0.00000003 ,0.000230145,0.000240499, (0.0000103536),152,152, -   ,86827,90733," (3,906.00)",571.2302632,596.9276316, (25.69736844),19.33333333,19.3333337, (0.00000037),0.854846496,0.85484649, 0.0000000055 ,2207209,2207209, -   ,137003181,136999722," 3,459.00 ",62.07077853,62.06921139, 0.00156714 
24,120000,120000, -   ,396544000,396544000, -   ,1.96,1.96, -   ,0.4024774,0.4024774, -   ,235200,235200, -   ,159599998,159600000, (2.00),678.5714201,678.5714286, (0.00000853),0.84,0.84, -   ,0.1724903,0.1724903, -   ,100800,100800, -   ,68399994,68400000, (6.00),678.571369,678.5714286, (0.00005955),0.001333333,0.0013333, 0.00000003 ,0.000242092,0.000242092, -   ,160,160, -   ,96000,96000, -   ,600,600, -   ,20,20, -   ,0.854863222,0.854863222, -   ,2400000,2400000, -   ,144000007,144000000, 7.00 ,60.00000292,60, 0.00000292 
25,126666,126666, -   ,418569000,418569000, -   ,1.96,1.96, -   ,0.402480275,0.4024803, (0.0000000250),248265,248265, -   ,168465766,168465777, (11.00),678.5723562,678.5724005, (0.00004435),0.84,0.84, -   ,0.172491533,0.1724915, 0.00000003 ,106399,106399, -   ,72199609,72199595, 14.00 ,678.5741313,678.5739998, 0.00013154 ,0.001333333,0.0013333, 0.00000003 ,0.000237298,0.000242119, (0.0000048212),169,169, -   ,99326,101344," (2,018.00)",587.7278107,599.6686391, (11.94082845),20.16666667,20.1666667, (0.00000003),0.854877655,0.854877655, (0.0000000003),2554431,2554431, -   ,152000922,151999200," 1,722.00 ",59.50480635,59.50413223, 0.00067412 
26,133333,133333, -   ,440597300,440597300, -   ,1.96,1.96, -   ,0.40248315,0.4024832, (0.0000000500),261332,261333, (1.00),177332989,177333011, (22.00),678.5735731,678.5710607, 0.00251238 ,0.84,0.84, -   ,0.172492767,0.1724927, 0.00000007 ,111999,112000, (1.00),75999847,75999818, 29.00 ,678.5761212,678.5698036, 0.00631762 ,0.001333333,0.0013333, 0.00000003 ,0.000240874,0.000242146, (0.0000012720),178,178, -   ,106128,106689, (561.00),596.2247191,599.3764045, (3.15168540),20.33333333,20.3333334, (0.00000007),0.854892087,0.854892088, (0.0000000007),2711104,2711104, -   ,160000181,159999707, 474.00 ,59.016615,59.01644017, 0.00017483 
27,140000,140000, -   ,462625600,462625600, -   ,1.96,1.96, -   ,0.402486025,0.4024861, (0.0000000750),274400,274400, -   ,186200339,186200374, (35.00),678.572664,678.5727915, (0.00012751),0.84,0.84, -   ,0.172494,0.1724939, 0.00000010 ,117600,117600, -   ,79800140,79800094, 46.00 ,678.572619,678.5722279, 0.00039115 ,0.001333333,0.0013333, 0.00000003 ,0.00024445,0.000242173, 0.0000022772 ,187,187, -   ,113089,112035," 1,054.00 ",604.7540107,599.1176471, 5.63636360 ,20.5,20.5000001, (0.00000010),0.85490652,0.854906521, (0.0000000010),2870000,2870000, -   ,167999417,168000328, (911.00),58.53638223,58.53669965, (0.00031742)
28,146666,146666, -   ,484648900,484648900, -   ,1.96,1.96, -   ,0.4024889,0.402489, (0.0000001000),287465,287465, -   ,195065803,195065851, (48.00),678.5723584,678.5725254, (0.00016703),0.84,0.84, -   ,0.172495233,0.1724951, 0.00000013 ,123199,123199, -   ,83599625,83599560, 65.00 ,678.5738926,678.573365, 0.00052765 ,0.001333333,0.0013333, 0.00000003 ,0.000248026,0.0002422, 0.0000058264 ,196,196, -   ,120206,117382," 2,824.00 ",613.2959184,598.8877551, 14.40816327 ,20.66666667,20.6666668, (0.00000013),0.854920953,0.854920954, (0.0000000013),3031097,3031097, -   ,175996819,175999249," (2,430.00)",58.06373699,58.06453868, (0.00080169)
