All,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance,Model,Excel,Variance
29,153333,153333, -   ,506675500,506675500, -   ,1.96,1.96, -   ,0.402491775,0.4024919, (0.0000001250),300532,300533, (1.00),203932721,203932785, (64.00),678.5724016,678.5703567, 0.00204491 ,0.84,0.84, -   ,0.172496467,0.1724963, 0.00000017 ,128799,128800, (1.00),87399733,87399649, 84.00 ,678.574624,678.5687034, 0.00592063 ,0.001333333,0.0013333, 0.00000003 ,0.000251603,0.000242227, 0.0000093756 ,204,204, -   ,127481,122730," 4,751.00 ",624.9068627,601.6176471, 23.28921565 ,20.83333333,20.8333335, (0.00000017),0.854935385,0.854935387, (0.0000000017),3194437,3194438, (1.00),183995402,183999481," (4,079.00)",57.59869486,57.59995373, (0.00125887)
30,160000,160000, -   ,528702100,528702100, -   ,1.96,1.96, -   ,0.40249465,0.4024948, (0.0000001500),313600,313600, -   ,212799767,212799846, (79.00),678.5706856,678.5709375, (0.00025191),0.84,0.84, -   ,0.1724977,0.1724975, 0.00000020 ,134400,134400, -   ,91199896,91199790, 106.00 ,678.5706548,678.5698661, 0.00078866 ,0.001333333,0.0013333, 0.00000003 ,0.000255179,0.000242254, 0.0000129248 ,213,213, -   ,134914,128080," 6,834.00 ",633.399061,601.314554, 32.08450703 ,21,21.0000002, (0.00000020),0.854949818,0.85494982, (0.0000000020),3360000,3360000, -   ,191993963,191999829," (5,866.00)",57.14106042,57.14280625, (0.00174583)
31,166666,166666, -   ,550725400,550725400, -   ,1.96,1.96, -   ,0.402497525,0.4024977, (0.0000001750),326665,326665, -   ,221665610,221665707, (97.00),678.571656,678.5719529, (0.00029692),0.84,0.84, -   ,0.172498933,0.1724987, 0.00000023 ,139999,139999, -   ,94999544,94999416, 128.00 ,678.5730184,678.5721041, 0.00091428 ,0.001333333,0.0013333, 0.00000003 ,0.000258755,0.000242281, 0.0000164740 ,222,222, -   ,142503,133430," 9,073.00 ",641.9054054,601.036036, 40.86936941 ,21.16666667,21.1666669, (0.00000023),0.854964251,0.854964253, (0.0000000023),3527763,3527764, (1.00),199991308,199999092," (7,784.00)",56.69068699,56.69287741, (0.00219042)
32,173333,173333, -   ,572752000,572752000, -   ,1.96,1.96, -   ,0.4025004,0.4025006, (0.0000002000),339732,339733, (1.00),230532909,230533024, (115.00),678.5728427,678.5711838, 0.00165891 ,0.84,0.84, -   ,0.172500167,0.1724999, 0.00000027 ,145599,145600, (1.00),98799815,98799663, 152.00 ,678.5748185,678.569114, 0.00570451 ,0.001333333,0.0013333, 0.00000003 ,0.000262331,0.000242308, 0.0000200232 ,231,231, -   ,150251,138782," 11,469.00 ",650.4372294,600.7878788, 49.64935064 ,21.33333333,21.3333336, (0.00000027),0.854978683,0.854978686, (0.0000000027),3697770,3697771, (1.00),207989831,207999669," (9,838.00)",56.24736828,56.25001359, (0.00264531)
33,180000,180000, -   ,594778600,594778600, -   ,1.96,1.96, -   ,0.402503275,0.4025035, (0.0000002250),352800,352800, -   ,239400334,239400468, (134.00),678.5723753,678.5727551, (0.00037982),0.84,0.84, -   ,0.1725014,0.1725011, 0.00000030 ,151200,151200, -   ,102600141,102599963, 178.00 ,678.5723611,678.5711839, 0.00117721 ,0.001333333,0.0013333, 0.00000003 ,0.000265907,0.000242335, 0.0000235724 ,240,240, -   ,158156,144136," 14,020.00 ",658.9833333,600.5666667, 58.41666663 ,21.5,21.5000003, (0.00000030),0.854993116,0.854993119, (0.0000000030),3870000,3870000, -   ,215988334,216000360," (12,026.00)",55.81093902,55.81404651, (0.00310749)
34,186666,186666, -   ,616800200,616800200, -   ,1.96,1.96, -   ,0.40250615,0.4025064, (0.0000002500),365865,365865, -   ,248265874,248266028, (154.00),678.5723532,678.5727741, (0.00042091),0.84,0.84, -   ,0.172502633,0.1725023, 0.00000033 ,156799,156799, -   ,106399659,106399453, 206.00 ,678.5735815,678.5722677, 0.00131376 ,0.001333333,0.0013333, 0.00000003 ,0.000269484,0.000242362, 0.0000271216 ,249,249, -   ,166218,149489," 16,729.00 ",667.5421687,600.3574297, 67.18473897 ,21.66666667,21.666667, (0.00000033),0.855007549,0.855007552, (0.0000000033),4044430,4044430, -   ,223985001,223999350," (14,349.00)",55.38110463,55.38465247, (0.00354784)
35,193333,193333, -   ,638825100,638825100, -   ,1.96,1.96, -   ,0.402509025,0.4025093, (0.0000002750),378932,378933, (1.00),257132868,257133044, (176.00),678.5725882,678.5712619, 0.00132632 ,0.84,0.84, -   ,0.172503867,0.1725035, 0.00000037 ,162399,162400, (1.00),110199800,110199566, 234.00 ,678.5743755,678.5687562, 0.00561926 ,0.001333333,0.0013333, 0.00000003 ,0.00027306,0.000242389, 0.0000306708 ,258,258, -   ,174437,154844," 19,593.00 ",676.1124031,600.1705426, 75.94186050 ,21.83333333,21.8333337, (0.00000037),0.855021981,0.855021985, (0.0000000037),4221103,4221104, (1.00),231982850,231999653," (16,803.00)",54.95787475,54.96184245, (0.00396770)
36,200000,200000, -   ,660850000,660850000, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,392000,392000, -   ,265999989,266000000, (11.00),678.5714005,678.5714286, (0.00002809),0.84,0.84, -   ,0.1725051,0.1725051, -   ,168000,168000, -   ,113999995,114000000, (5.00),678.5713988,678.5714286, (0.00002979),0.001333333,0.0013333, 0.00000003 ,0.000242415,0.000242415, -   ,267,267, -   ,160200,160200, -   ,600,600, -   ,22,22, -   ,0.855036414,0.855036414, -   ,4400000,4400000, -   ,240000014,240000000, 14.00 ,54.54545773,54.54545455, 0.00000318 
37,202000,202000, -   ,667458500,667458500, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,395920,395920, -   ,268659989,268659989, -   ,678.5714008,678.5714008, (0.00000001),0.84,0.84, -   ,0.1725051,0.1725051, -   ,169680,169680, -   ,115139995,115139995, -   ,678.5713991,678.5713991, 0.00000000 ,0.001333333,0.0013333, 0.00000003 ,0.000280212,0.000242415, 0.0000377972 ,269,269, -   ,187030,161802," 25,228.00 ",695.2788104,601.4944238, 93.78438661 ,22,22, -   ,0.855036414,0.855036414, -   ,4444000,4444000, -   ,242378443,242400014," (21,571.00)",54.54060374,54.5454577, (0.00485396)
38,204020,204020, -   ,674133000,674133000, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,399879,399879, -   ,271346555,271346555, -   ,678.5716554,678.5716554, 0.00000003 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,171376,171377, (1.00),116291381,116291381, -   ,678.5744853,678.5705258, 0.00395954 ,0.001333333,0.0013333, 0.00000003 ,0.000283788,0.000242415, 0.0000413734 ,272,272, -   ,191311,163420," 27,891.00 ",703.3492647,600.8088235, 102.54044121 ,22,22, -   ,0.855036414,0.855036414, -   ,4488440,4488440, -   ,244800134,244823982," (23,848.00)",54.54013733,54.54545054, (0.00531321)
39,206060,206060, -   ,680873500,680873500, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,403877,403878, (1.00),274059686,274059686, -   ,678.5721544,678.5704743, 0.00168009 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,173090,173090, -   ,117454151,117454151, -   ,678.5727136,678.5727136, 0.00000002 ,0.001333333,0.0013333, 0.00000003 ,0.000287365,0.000242415, 0.0000449496 ,275,275, -   ,195659,165054," 30,605.00 ",711.4872727,600.1963636, 111.29090913 ,22,22, -   ,0.855036414,0.855036414, -   ,4533320,4533320, -   ,247245753,247271921," (26,168.00)",54.53966475,54.54543712, (0.00577237)
40,208120,208120, -   ,687680000,687680000, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,407915,407915, -   ,276799383,276799383, -   ,678.5712293,678.5712293, 0.00000000 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,174820,174821, (1.00),118628307,118628307, -   ,678.5740018,678.5701203, 0.00388153 ,0.001333333,0.0013333, 0.00000003 ,0.000290941,0.000242415, 0.0000485258 ,277,277, -   ,200074,166704," 33,370.00 ",722.2888087,601.8194946, 120.46931406 ,22,22, -   ,0.855036414,0.855036414, -   ,4578640,4578640, -   ,249715297,249743829," (28,532.00)",54.53918565,54.5454172, (0.00623155)
41,210201,210201, -   ,694557500,694557500, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,411993,411994, (1.00),279567659,279567659, -   ,678.5738083,678.5721612, 0.00164709 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,176568,176569, (1.00),119814711,119814711, -   ,678.5754553,678.5716122, 0.00384315 ,0.001333333,0.0013333, 0.00000003 ,0.000294517,0.000242415, 0.0000521020 ,280,280, -   ,204559,168371," 36,188.00 ",730.5678571,601.325, 129.24285714 ,22,22, -   ,0.855036414,0.855036414, -   ,4624422,4624422, -   ,252210579,252241521," (30,942.00)",54.53883296,54.54552396, (0.00669100)
42,212303,212303, -   ,701502600,701502600, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,416113,416114, (1.00),282363144,282363144, -   ,678.5732337,678.571603, 0.00163071 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,178334,178335, (1.00),121012776,121012776, -   ,678.5737773,678.5699722, 0.00380509 ,0.001333333,0.0013333, 0.00000003 ,0.000298093,0.000242415, 0.0000556782 ,283,283, -   ,209113,170055," 39,058.00 ",738.9151943,600.9010601, 138.01413425 ,22,22, -   ,0.855036414,0.855036414, -   ,4670666,4670666, -   ,254730368,254763764," (33,396.00)",54.5383395,54.54548966, (0.00715016)
43,214426,214426, -   ,708517000,708517000, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,420274,420275, (1.00),285186524,285186524, -   ,678.5728453,678.5712307, 0.00161463 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,180117,180118, (1.00),122222796,122222796, -   ,678.5744599,678.5706925, 0.00376743 ,0.001333333,0.0013333, 0.00000003 ,0.000301669,0.000242415, 0.0000592544 ,286,286, -   ,213738,171755," 41,983.00 ",747.3356643,600.541958, 146.79370634 ,22,22, -   ,0.855036414,0.855036414, -   ,4717372,4717372, -   ,257275277,257311174," (35,897.00)",54.5378395,54.54544903, (0.00760953)
44,216570,216570, -   ,715600700,715600700, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,424477,424477, -   ,288037797,288037797, -   ,678.5710345,678.5710345, (0.00000003),0.84,0.84, -   ,0.1725051,0.1725051, -   ,181918,181919, (1.00),123444770,123444770, -   ,678.573698,678.569968, 0.00373004 ,0.001333333,0.0013333, 0.00000003 ,0.000305246,0.000242415, 0.0000628306 ,289,289, -   ,218434,173472," 44,962.00 ",755.8269896,600.2491349, 155.57785472 ,22,22, -   ,0.855036414,0.855036414, -   ,4764540,4764540, -   ,259845309,259883753," (38,444.00)",54.53733393,54.5454027, (0.00806877)
45,218735,218735, -   ,722755400,722755400, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,428720,428721, (1.00),290917649,290917649, -   ,678.5726092,678.5710264, 0.00158276 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,183737,183737, -   ,124678993,124678993, -   ,678.5731399,678.5731399, (0.00000003),0.001333333,0.0013333, 0.00000003 ,0.000308822,0.000242415, 0.0000664068 ,292,292, -   ,223203,175207," 47,996.00 ",764.3938356,600.0239726, 164.36986302 ,22,22, -   ,0.855036414,0.855036414, -   ,4812170,4812170, -   ,262441076,262482115," (41,039.00)",54.53695027,54.54547844, (0.00852817)
46,220922,220922, -   ,729981000,729981000, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,433007,433007, -   ,293826039,293826039, -   ,678.5711062,678.5711062, 0.00000004 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,185574,185574, -   ,125925445,125925445, -   ,678.5726718,678.5726718, 0.00000002 ,0.001333333,0.0013333, 0.00000003 ,0.000312398,0.000242415, 0.0000699830 ,295,295, -   ,228045,176958," 51,087.00 ",773.0338983,599.8576271, 173.17627121 ,22,22, -   ,0.855036414,0.855036414, -   ,4860284,4860284, -   ,265062546,265106227," (43,681.00)",54.53643162,54.54541895, (0.00898733)
47,223131,223131, -   ,737280900,737280900, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,437336,437337, (1.00),296764336,296764336, -   ,678.5728502,678.5712986, 0.00155157 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,187430,187430, -   ,127184715,127184715, -   ,678.5718135,678.5718135, (0.00000002),0.001333333,0.0013333, 0.00000003 ,0.000315974,0.000242415, 0.0000735592 ,298,298, -   ,232962,178728," 54,234.00 ",781.7516779,599.7583893, 181.99328855 ,22,22, -   ,0.855036414,0.855036414, -   ,4908882,4908882, -   ,267710950,267757322," (46,372.00)",54.53603285,54.5454794, (0.00944655)
48,225362,225362, -   ,744651700,744651700, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,441709,441710, (1.00),299731171,299731171, -   ,678.5715731,678.5700369, 0.00153624 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,189304,189304, -   ,128456216,128456216, -   ,678.5710603,678.5710603, 0.00000001 ,0.001333333,0.0013333, 0.00000003 ,0.00031955,0.000242415, 0.0000771354 ,300,300, -   ,237954,180515," 57,439.00 ",793.18,601.7166667, 191.46333330 ,22,22, -   ,0.855036414,0.855036414, -   ,4957964,4957964, -   ,270385052,270434164," (49,112.00)",54.53550127,54.54540695, (0.00990568)
49,227615,227615, -   ,752096800,752096800, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,446125,446125, -   ,302727912,302727912, -   ,678.5719518,678.5719518, 0.00000001 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,191196,191197, (1.00),129740534,129740534, -   ,678.5734743,678.5699253, 0.00354904 ,0.001333333,0.0013333, 0.00000003 ,0.000323127,0.000242415, 0.0000807116 ,303,303, -   ,243022,182320," 60,702.00 ",802.0528053,601.7161716, 200.33663368 ,22,22, -   ,0.855036414,0.855036414, -   ,5007530,5007530, -   ,273086089,273137991," (51,902.00)",54.53508796,54.54545275, (0.01036479)
50,229891,229891, -   ,759617800,759617800, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,450586,450586, -   ,305755204,305755204, -   ,678.5723569,678.5723569, (0.00000001),0.84,0.84, -   ,0.1725051,0.1725051, -   ,193108,193108, -   ,131037945,131037945, -   ,678.5733631,678.5733631, (0.00000001),0.001333333,0.0013333, 0.00000003 ,0.000326703,0.000242415, 0.0000842878 ,307,307, -   ,248169,184143," 64,026.00 ",808.3680782,599.8143322, 208.55374598 ,22,22, -   ,0.855036414,0.855036414, -   ,5057602,5057602, -   ,275814638,275869383," (54,745.00)",54.53466643,54.54549073, (0.01082430)
51,232189,232189, -   ,767209700,767209700, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,455090,455090, -   ,308811034,308811034, -   ,678.5713463,678.5713463, 0.00000003 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,195038,195039, (1.00),132347586,132347586, -   ,678.5733344,678.5698553, 0.00347913 ,0.001333333,0.0013333, 0.00000003 ,0.000330279,0.000242415, 0.0000878640 ,310,310, -   ,253393,185983," 67,410.00 ",817.3967742,599.9451613, 217.45161289 ,22,22, -   ,0.855036414,0.855036414, -   ,5108158,5108158, -   ,278568886,278626524," (57,638.00)",54.53411699,54.54540051, (0.01128352)
52,234510,234510, -   ,774879200,774879200, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,459639,459640, (1.00),311898099,311898099, -   ,678.5718771,678.5704007, 0.00147636 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,196988,196988, -   ,133670614,133670614, -   ,678.5723699,678.5723699, (0.00000001),0.001333333,0.0013333, 0.00000003 ,0.000333855,0.000242415, 0.0000914402 ,313,313, -   ,258697,187842," 70,855.00 ",826.5079872,600.1341853, 226.37380192 ,22,22, -   ,0.855036414,0.855036414, -   ,5159220,5159220, -   ,281351263,281411846," (60,583.00)",54.53368203,54.5454247, (0.01174267)
53,236855,236855, -   ,782627900,782627900, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,464235,464236, (1.00),315017043,315017043, -   ,678.5723674,678.5709057, 0.00146174 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,198958,198958, -   ,135007304,135007304, -   ,678.5718795,678.5718795, (0.00000001),0.001333333,0.0013333, 0.00000003 ,0.000337431,0.000242415, 0.0000950164 ,316,316, -   ,264083,189721," 74,362.00 ",835.7056962,600.3829114, 235.32278480 ,22,22, -   ,0.855036414,0.855036414, -   ,5210810,5210810, -   ,284162349,284225931," (63,582.00)",54.53323936,54.5454413, (0.01220194)
54,239223,239223, -   ,790452500,790452500, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,468877,468877, -   ,318166538,318166538, -   ,678.5714334,678.5714334, 0.00000005 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,200947,200947, -   ,136357088,136357088, -   ,678.5723997,678.5723997, (0.00000001),0.001333333,0.0013333, 0.00000003 ,0.000341008,0.000242415, 0.0000985926 ,319,319, -   ,269550,191618," 77,932.00 ",844.984326,600.6833856, 244.30094042 ,22,22, -   ,0.855036414,0.855036414, -   ,5262906,5262906, -   ,287000945,287067579," (66,634.00)",54.53278949,54.54545056, (0.01266107)
55,241615,241615, -   ,798356300,798356300, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,473565,473565, -   ,321347911,321347911, -   ,678.5719194,678.5719194, (0.00000002),0.84,0.84, -   ,0.1725051,0.1725051, -   ,202956,202957, (1.00),137720533,137720533, -   ,678.5733509,678.5700074, 0.00334347 ,0.001333333,0.0013333, 0.00000003 ,0.000344584,0.000242415, 0.0001021688 ,322,322, -   ,275101,193534," 81,567.00 ",854.3509317,601.0372671, 253.31366458 ,22,22, -   ,0.855036414,0.855036414, -   ,5315530,5315530, -   ,289868250,289937993," (69,743.00)",54.53233262,54.54545323, (0.01312061)
56,244031,244031, -   ,806339300,806339300, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,478300,478301, (1.00),324561164,324561164, -   ,678.5723688,678.5709501, 0.00141871 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,204986,204986, -   ,139097642,139097642, -   ,678.5714244,678.5714244, (0.00000001),0.001333333,0.0013333, 0.00000003 ,0.00034816,0.000242415, 0.0001057450 ,325,325, -   ,280735,195469," 85,266.00 ",863.8,601.4430769, 262.35692310 ,22,22, -   ,0.855036414,0.855036414, -   ,5368682,5368682, -   ,292764262,292837168," (72,906.00)",54.53186872,54.54544858, (0.01357986)
57,246471,246471, -   ,814401500,814401500, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,483083,483083, -   ,327806295,327806295, -   ,678.5713739,678.5713739, (0.00000004),0.84,0.84, -   ,0.1725051,0.1725051, -   ,207035,207036, (1.00),140488412,140488412, -   ,678.5732461,678.5699685, 0.00327757 ,0.001333333,0.0013333, 0.00000003 ,0.000351736,0.000242415, 0.0001093212 ,329,329, -   ,286454,197423," 89,031.00 ",870.6808511,600.0699088, 270.61094226 ,22,22, -   ,0.855036414,0.855036414, -   ,5422362,5422362, -   ,295688983,295765107," (76,124.00)",54.53139849,54.54543739, (0.01403890)
58,248935,248935, -   ,822542900,822542900, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,487912,487913, (1.00),331083306,331083306, -   ,678.5717629,678.5703722, 0.00139074 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,209105,209105, -   ,141892845,141892845, -   ,678.5722245,678.5722245, (0.00000002),0.001333333,0.0013333, 0.00000003 ,0.000355312,0.000242415, 0.0001128974 ,332,332, -   ,292260,199397," 92,863.00 ",880.3012048,600.5933735, 279.70783132 ,22,22, -   ,0.855036414,0.855036414, -   ,5476570,5476570, -   ,298642407,298721808," (79,401.00)",54.53092118,54.54541949, (0.01449831)
59,251424,251424, -   ,830768500,830768500, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,492791,492791, -   ,334394207,334394207, -   ,678.572066,678.572066, 0.00000005 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,211196,211196, -   ,143311803,143311803, -   ,678.572525,678.572525, 0.00000005 ,0.001333333,0.0013333, 0.00000003 ,0.000358889,0.000242415, 0.0001164736 ,335,335, -   ,298153,201391," 96,762.00 ",890.0089552,601.1671642, 288.84179102 ,22,22, -   ,0.855036414,0.855036414, -   ,5531328,5531328, -   ,301626354,301709089," (82,735.00)",54.53054926,54.54550679, (0.01495753)
60,253938,253938, -   ,839074900,839074900, -   ,1.96,1.96, -   ,0.4025119,0.4025119, -   ,497718,497718, -   ,337737632,337737632, -   ,678.5722678,678.5722678, 0.00000003 ,0.84,0.84, -   ,0.1725051,0.1725051, -   ,213307,213308, (1.00),144744700,144744700, -   ,678.5745428,678.5713616, 0.00318120 ,0.001333333,0.0013333, 0.00000003 ,0.000362465,0.000242415, 0.0001200498 ,339,339, -   ,304135,203404," 100,731.00 ",897.1533923,600.0117994, 297.14159293 ,22,22, -   ,0.855036414,0.855036414, -   ,5586636,5586636, -   ,304639584,304725713," (86,129.00)",54.5300578,54.54547477, (0.01541697)
